alt           press         den           temp          eddy          H2Oaer        CO2aer        S8aer         H2SO4aer      NH3aer        N2Oaer        C2H2aer       C2H4aer       C2H6aer       CH3CNaer      HCCCNaer      HCNaer        CH4aer        HCaer1        HCaer2        HCaer3        He            H             H2            H2O           OH            O             O2            CO            CO2           HCO           H2CO          C             CH            CH2           CH3           CH4           S             S2            S3            S4            S8            H2S           HS            SO            SO2           CS            CS2           OCS           CN            HCN           N             N2            NH            NH2           NH3           C2            C2H           C2H2          C2H4          NO            HNO           HO2           HNCO          N2O           H2O2          O3            NO2           NO3           SO3           HNO2          HNO3          H2SO4         HCl           Cl            Cl2           HOCl          N2H4          ClO           C2H6          CH3OH         CH2CO         CH3CHO        C3H4          C3H6          C4H2          C4H4          OClO          HCS           C2H3          C2H5          NCO           1CH2          HCCO          NNH           HSO           CH3O          H2COH         H2CN          N2H2          C4H           HCNOH         C2H2OH        CH3CO         CH2CHO        C2H3OH        C2H4OH        CH3O2         HSO3          N2H3          NH2CO         HS4           C4H3          CH2N2         CH2CN         CH3CN         HCCCN         O1D           N2D           H2Oaer_r      CO2aer_r      S8aer_r       H2SO4aer_r    NH3aer_r      N2Oaer_r      C2H2aer_r     C2H4aer_r     C2H6aer_r     CH3CNaer_r    HCCCNaer_r    HCNaer_r      CH4aer_r      HCaer1_r      HCaer2_r      HCaer3_r      
5.00000E-001  9.83686E-001  2.49370E+019  2.85712E+002  1.00000E+005  6.73075E-004  1.00000E-040  1.00000E-040  7.27120E-031  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  6.39442E-033  1.00000E-040  1.00831E-040  4.74087E-022  1.25215E-006  7.43086E-003  1.43750E-014  2.52225E-017  1.99264E-001  3.04940E-008  3.65970E-004  6.62043E-024  1.86474E-011  1.00000E-040  1.00000E-040  4.64569E-034  2.14113E-020  1.38149E-006  9.75634E-027  1.00000E-040  3.36596E-029  1.00000E-040  6.62090E-035  2.52594E-012  5.28559E-018  1.07214E-019  1.93735E-011  1.00000E-040  1.00000E-040  5.41025E-010  1.88038E-040  2.89681E-016  8.01201E-039  7.92936E-001  1.71830E-030  7.47850E-027  6.44449E-021  1.00000E-040  1.00000E-040  8.88649E-030  3.18202E-025  5.81432E-017  1.74642E-017  6.11598E-012  1.45862E-018  3.15141E-007  5.03178E-010  9.69501E-009  2.99128E-014  1.30144E-015  3.30094E-020  3.78957E-015  3.79832E-012  3.47026E-012  1.93013E-010  3.42205E-017  2.33324E-018  8.28519E-013  1.33935E-038  2.94525E-010  1.36801E-023  4.32518E-017  1.68653E-025  4.23885E-026  1.00000E-040  1.66415E-038  1.00000E-040  1.00000E-040  4.79106E-011  1.00000E-040  1.00000E-040  7.13549E-026  4.42937E-024  1.30818E-035  3.42115E-040  3.00004E-033  2.11925E-018  7.44327E-020  6.40481E-015  2.64298E-029  1.07133E-036  1.00000E-040  7.91061E-025  1.00000E-040  5.72738E-026  4.89620E-031  4.19680E-022  5.56189E-026  1.24562E-008  4.11754E-024  5.89837E-039  8.12702E-019  1.00000E-040  1.00000E-040  3.36087E-024  1.29918E-037  8.98825E-027  2.08811E-039  6.25820E-023  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
1.50000E+000  8.70952E-001  2.25274E+019  2.80027E+002  1.00000E+005  8.16354E-004  1.00000E-040  1.00000E-040  4.57075E-028  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.40277E-033  1.00000E-040  1.00997E-040  5.93882E-022  1.25436E-006  5.80420E-003  1.83077E-014  3.34072E-017  1.99591E-001  3.04970E-008  3.66572E-004  9.34883E-024  2.11957E-011  1.00000E-040  1.00000E-040  6.45354E-034  2.45135E-020  1.38197E-006  1.64966E-026  1.03488E-027  2.93731E-030  1.42160E-029  6.63174E-035  3.03922E-012  7.22365E-018  2.07675E-019  4.02245E-011  1.00000E-040  1.00000E-040  5.41543E-010  1.51762E-040  2.92376E-016  8.26730E-039  7.94235E-001  1.10925E-030  6.69801E-027  6.44183E-021  1.00000E-040  1.00000E-040  8.68060E-030  3.10136E-025  8.86179E-017  1.82078E-017  6.63117E-012  2.92262E-018  3.15607E-007  5.60795E-010  1.07627E-008  3.88256E-014  1.72898E-015  4.12331E-020  4.62737E-015  4.96814E-012  6.76558E-012  1.90709E-010  3.61268E-017  1.91153E-018  7.77768E-013  1.07597E-038  3.05153E-010  1.37424E-023  4.09506E-017  2.02281E-025  4.68969E-026  1.00000E-040  1.63329E-038  1.00000E-040  1.00000E-040  4.46039E-011  1.00000E-040  1.00000E-040  6.82528E-026  1.58523E-023  1.70951E-035  4.57125E-040  2.44522E-033  4.39574E-018  1.08281E-019  6.88993E-015  2.34514E-029  1.07133E-036  1.00000E-040  1.53104E-024  1.00000E-040  8.53870E-026  4.73033E-031  4.20368E-022  6.54762E-026  1.22125E-008  1.12272E-023  5.19083E-039  8.21394E-019  1.00000E-040  1.00000E-040  3.58621E-024  1.27650E-037  8.99995E-027  2.10695E-039  8.75954E-023  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
2.50000E+000  7.69113E-001  2.03658E+019  2.73530E+002  1.00000E+005  8.44504E-004  1.00000E-040  1.00000E-040  3.79546E-025  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.04642E-033  1.00000E-040  1.01157E-040  7.07781E-022  1.25669E-006  4.22304E-003  2.24043E-014  4.49935E-017  1.99908E-001  3.05792E-008  3.67157E-004  1.31244E-023  2.45963E-011  1.00000E-040  1.00000E-040  7.91889E-034  2.60055E-020  1.38252E-006  2.30627E-026  3.44752E-028  1.00000E-040  1.00000E-040  6.64227E-035  3.24912E-012  8.29992E-018  3.64299E-019  5.49761E-011  1.00000E-040  1.00000E-040  5.42032E-010  1.07823E-040  2.95389E-016  8.21321E-039  7.95498E-001  6.85985E-031  6.66916E-027  6.43410E-021  1.00000E-040  1.00000E-040  8.28373E-030  2.95346E-025  1.51470E-016  1.98535E-017  7.01416E-012  4.46814E-018  3.16054E-007  6.01637E-010  1.22843E-008  5.58580E-014  2.52580E-015  3.57433E-020  6.71449E-015  6.87969E-012  9.71813E-012  1.83284E-010  3.66214E-017  1.42782E-018  6.87230E-013  8.67060E-039  3.22404E-010  1.38438E-023  3.75711E-017  2.71967E-025  5.05794E-026  1.00000E-040  1.57818E-038  1.00000E-040  1.00000E-040  3.98056E-011  1.00000E-040  1.00000E-040  6.38570E-026  3.50839E-023  1.95010E-035  6.11341E-040  1.78053E-033  8.37557E-018  1.64403E-019  7.82706E-015  1.91518E-029  1.07049E-036  1.00000E-040  3.13448E-024  1.00000E-040  1.26958E-025  4.43560E-031  4.21036E-022  7.21372E-026  1.16896E-008  1.95146E-023  4.44170E-039  8.33350E-019  1.00000E-040  1.00000E-040  3.40925E-024  1.23137E-037  9.00047E-027  2.12735E-039  1.23194E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
3.50000E+000  6.77286E-001  1.83704E+019  2.67036E+002  1.00000E+005  7.92724E-004  1.00000E-040  1.00000E-040  3.34910E-022  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.24521E-033  1.00000E-040  1.01299E-040  8.17274E-022  1.25894E-006  2.82871E-003  2.61849E-014  6.18773E-017  2.00188E-001  3.07437E-008  3.67673E-004  1.85761E-023  2.94817E-011  1.00000E-040  1.00000E-040  8.79084E-034  2.61931E-020  1.38294E-006  2.81246E-026  3.30111E-028  2.63210E-035  1.00000E-040  6.65156E-035  3.25116E-012  8.40875E-018  5.82240E-019  6.42198E-011  1.00000E-040  1.00000E-040  5.42415E-010  1.00000E-040  2.98718E-016  8.09653E-039  7.96612E-001  4.34538E-031  6.92759E-027  6.42342E-021  1.00000E-040  1.00000E-040  7.74909E-030  2.76633E-025  2.76491E-016  2.26411E-017  7.36013E-012  6.10467E-018  3.16435E-007  6.36957E-010  1.42925E-008  8.40157E-014  3.78168E-015  2.99100E-020  1.08790E-014  9.77988E-012  1.20918E-011  1.72357E-010  3.50709E-017  9.55568E-019  5.71404E-013  7.43502E-039  3.43424E-010  1.39881E-023  3.38844E-017  3.86241E-025  5.08870E-026  1.00000E-040  1.50794E-038  1.00000E-040  1.00000E-040  3.46429E-011  1.00000E-040  1.00000E-040  5.92649E-026  5.01622E-023  2.00547E-035  8.21014E-040  1.22729E-033  1.46070E-017  2.57388E-019  9.24128E-015  1.48154E-029  1.07009E-036  1.00000E-040  6.28212E-024  1.00000E-040  1.82980E-025  4.06512E-031  4.21626E-022  7.32559E-026  1.08952E-008  2.77338E-023  3.92847E-039  8.47014E-019  1.00000E-040  1.00000E-040  2.92258E-024  1.16829E-037  8.98730E-027  2.14921E-039  1.74052E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
4.50000E+000  5.94797E-001  1.65350E+019  2.60544E+002  1.00000E+005  5.97595E-004  1.00000E-040  1.00000E-040  2.91060E-019  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  8.31342E-034  1.00000E-040  1.01402E-040  9.59591E-022  1.26085E-006  1.82045E-003  3.06642E-014  8.61344E-017  2.00391E-001  3.09786E-008  3.68046E-004  2.67500E-023  3.60791E-011  1.00000E-040  1.00000E-040  9.70181E-034  2.62503E-020  1.38293E-006  3.21617E-026  4.40396E-028  7.10700E-031  1.00000E-040  6.65826E-035  3.09079E-012  8.05403E-018  9.02352E-019  6.85049E-011  1.00000E-040  1.00000E-040  5.42581E-010  1.00000E-040  3.02351E-016  8.27197E-039  7.97418E-001  2.80419E-031  7.40746E-027  6.40968E-021  1.00000E-040  1.00000E-040  7.13060E-030  2.56253E-025  5.22006E-016  2.68772E-017  7.81876E-012  7.84709E-018  3.16686E-007  6.94818E-010  1.68028E-008  1.27478E-013  5.77089E-015  2.67436E-020  1.86529E-014  1.43460E-011  1.38053E-011  1.59327E-010  3.25838E-017  6.12525E-019  4.66746E-013  6.76097E-039  3.66229E-010  1.41825E-023  3.02559E-017  5.65987E-025  4.89031E-026  1.00000E-040  1.42866E-038  1.00000E-040  1.00000E-040  2.95476E-011  1.00000E-040  1.00000E-040  5.48508E-026  5.29047E-023  2.04262E-035  1.10191E-039  8.40776E-034  2.48216E-017  4.11265E-019  1.09591E-014  1.10206E-029  1.07106E-036  1.00000E-040  1.29564E-023  1.00000E-040  2.68219E-025  3.65861E-031  4.22052E-022  7.06309E-026  9.85855E-009  3.61367E-023  3.65726E-039  8.61925E-019  1.00000E-040  1.00000E-040  2.45978E-024  1.09206E-037  8.96411E-027  2.17233E-039  2.45377E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
5.50000E+000  5.20827E-001  1.48486E+019  2.54054E+002  1.00000E+005  4.23111E-004  1.00000E-040  1.00000E-040  2.16124E-016  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  5.88529E-034  1.00000E-040  1.01471E-040  1.16122E-021  1.26244E-006  1.13786E-003  3.64757E-014  1.20584E-016  2.00528E-001  3.12713E-008  3.68300E-004  3.88059E-023  4.43586E-011  1.00000E-040  1.00000E-040  1.09357E-033  2.65292E-020  1.38255E-006  3.53346E-026  2.21186E-028  1.82533E-035  1.00000E-040  6.66279E-035  2.79783E-012  7.45822E-018  1.37899E-018  6.84132E-011  1.00000E-040  1.00000E-040  5.42558E-010  1.00000E-040  3.06349E-016  8.82681E-039  7.97963E-001  1.83101E-031  8.13462E-027  6.39283E-021  1.00000E-040  1.00000E-040  6.47536E-030  2.35747E-025  9.94655E-016  3.30119E-017  8.42340E-012  9.71389E-018  3.16827E-007  7.76003E-010  1.98254E-008  1.89429E-013  8.76775E-015  2.88249E-020  3.29800E-014  2.09771E-011  1.44313E-011  1.45367E-010  2.98060E-017  3.87948E-019  3.81024E-013  6.43606E-039  3.89393E-010  1.44392E-023  2.68718E-017  8.47618E-025  4.60163E-026  1.00000E-040  1.34443E-038  1.00000E-040  1.00000E-040  2.47632E-011  1.00000E-040  1.00000E-040  5.07419E-026  4.79442E-023  2.11620E-035  1.47365E-039  5.78826E-034  4.18044E-017  6.61737E-019  1.28089E-014  7.94522E-030  1.07428E-036  1.00000E-040  2.79346E-023  1.00000E-040  4.05635E-025  3.24509E-031  4.22341E-022  6.61602E-026  8.62248E-009  4.48681E-023  3.56557E-039  8.78191E-019  1.00000E-040  1.00000E-040  2.09086E-024  1.00726E-037  8.93622E-027  2.19712E-039  3.43855E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
6.50000E+000  4.54610E-001  1.33004E+019  2.47565E+002  1.00000E+005  2.89379E-004  1.00000E-040  1.00000E-040  1.24008E-013  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  4.50832E-034  1.00000E-040  1.01517E-040  1.44995E-021  1.26380E-006  6.91368E-004  4.41759E-014  1.69032E-016  2.00617E-001  3.16024E-008  3.68467E-004  5.61425E-023  5.41441E-011  1.00000E-040  1.00000E-040  1.26437E-033  2.70953E-020  1.38191E-006  3.74575E-026  1.64745E-028  1.00000E-040  1.00000E-040  6.66575E-035  2.40057E-012  6.69650E-018  2.07636E-018  6.46316E-011  1.00000E-040  1.00000E-040  5.42392E-010  1.00000E-040  3.10791E-016  9.80453E-039  7.98320E-001  1.20167E-031  9.12177E-027  6.37285E-021  1.00000E-040  1.00000E-040  5.82204E-030  2.16118E-025  1.89995E-015  4.17116E-017  9.16321E-012  1.17266E-017  3.16884E-007  8.76214E-010  2.33642E-008  2.71794E-013  1.31132E-014  3.95203E-020  5.96653E-014  2.99261E-011  1.30946E-011  1.31409E-010  2.71189E-017  2.46547E-019  3.12717E-013  6.31128E-039  4.11817E-010  1.47724E-023  2.38303E-017  1.28779E-024  4.30865E-026  1.00000E-040  1.25809E-038  1.00000E-040  1.00000E-040  2.04705E-011  1.00000E-040  1.00000E-040  4.69794E-026  4.15251E-023  2.23901E-035  1.96208E-039  4.00179E-034  6.97500E-017  1.06035E-018  1.46517E-014  5.57747E-030  1.08037E-036  1.00000E-040  6.32528E-023  1.00000E-040  6.34564E-025  2.84567E-031  4.22529E-022  6.11273E-026  7.23997E-009  5.37675E-023  3.59047E-039  8.96073E-019  1.00000E-040  1.00000E-040  1.80238E-024  9.18003E-038  8.90665E-027  2.22409E-039  4.77844E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
7.50000E+000  3.95459E-001  1.18811E+019  2.41079E+002  1.00000E+005  1.90422E-004  1.00000E-040  1.00000E-040  4.92068E-011  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.37570E-033  1.00000E-040  1.01545E-040  1.86038E-021  1.26497E-006  4.07804E-004  5.43230E-014  2.36576E-016  2.00674E-001  3.19443E-008  3.68574E-004  8.07043E-023  6.53704E-011  1.00000E-040  1.00000E-040  1.49018E-033  2.78788E-020  1.38108E-006  3.80171E-026  1.17232E-028  1.00000E-040  1.00000E-040  6.66761E-035  1.93267E-012  5.77830E-018  3.04688E-018  5.80194E-011  1.00000E-040  1.00000E-040  5.42119E-010  1.00000E-040  3.15764E-016  1.12503E-038  7.98546E-001  7.87833E-032  1.03575E-026  6.34965E-021  1.00000E-040  1.00000E-040  5.20302E-030  1.98085E-025  3.68002E-015  5.39623E-017  1.00146E-011  1.39100E-017  3.16880E-007  9.90554E-010  2.74132E-008  3.76761E-013  1.92636E-014  6.42189E-020  1.10514E-013  4.13299E-011  8.45377E-012  1.18180E-010  2.47574E-017  1.59085E-019  2.59007E-013  6.27369E-039  4.32639E-010  1.51988E-023  2.11839E-017  1.96490E-024  4.05067E-026  1.00000E-040  1.17188E-038  1.00000E-040  1.00000E-040  1.68137E-011  1.00000E-040  1.00000E-040  4.35768E-026  3.60132E-023  2.40342E-035  2.60441E-039  2.76100E-034  1.14106E-016  1.68576E-018  1.63996E-014  3.83026E-030  1.08978E-036  1.00000E-040  1.50454E-022  1.00000E-040  1.02322E-024  2.47640E-031  4.22649E-022  5.62914E-026  5.77543E-009  6.22966E-023  3.67624E-039  9.15882E-019  1.00000E-040  1.00000E-040  1.56441E-024  8.28081E-038  8.87680E-027  2.25376E-039  6.57625E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
8.50000E+000  3.42747E-001  1.05821E+019  2.34594E+002  9.95139E+004  1.19458E-004  1.00000E-040  1.00000E-040  1.12931E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  2.50047E-031  1.00000E-040  1.01563E-040  2.43889E-021  1.26595E-006  2.33428E-004  6.74133E-014  3.30114E-016  2.00709E-001  3.22610E-008  3.68640E-004  1.16167E-022  7.87842E-011  1.00000E-040  1.00000E-040  1.76691E-033  2.87037E-020  1.38013E-006  3.63100E-026  4.13085E-029  1.00000E-040  1.00000E-040  6.66874E-035  1.43771E-012  4.70567E-018  4.27635E-018  4.96639E-011  1.00000E-040  1.00000E-040  5.41762E-010  1.00000E-040  3.21377E-016  1.32080E-038  7.98686E-001  5.13394E-032  1.17712E-026  6.32297E-021  1.00000E-040  1.00000E-040  4.64536E-030  1.82330E-025  7.46014E-015  7.12654E-017  1.09734E-011  1.62990E-017  3.16829E-007  1.11439E-009  3.19641E-008  5.12112E-013  2.77333E-014  1.12211E-019  2.10550E-013  5.52787E-011  4.32460E-012  1.06221E-010  2.28480E-017  1.05527E-019  2.17695E-013  6.22410E-039  4.51224E-010  1.57390E-023  1.89598E-017  2.96067E-024  3.84214E-026  1.00000E-040  1.08771E-038  1.00000E-040  1.00000E-040  1.38973E-011  1.00000E-040  1.00000E-040  4.05574E-026  3.12656E-023  2.58212E-035  3.46041E-039  1.88568E-034  1.79780E-016  2.68275E-018  1.80460E-014  2.59616E-030  1.10290E-036  1.00000E-040  3.75163E-022  1.00000E-040  1.68211E-024  2.14975E-031  4.22723E-022  5.21112E-026  4.30445E-009  6.96105E-023  3.77261E-039  9.38018E-019  1.00000E-040  1.00000E-040  1.34797E-024  7.40950E-038  8.84725E-027  2.28680E-039  8.95945E-022  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
9.50000E+000  2.95905E-001  9.39551E+018  2.28112E+002  9.26422E+004  6.88504E-005  1.00000E-040  1.00000E-040  5.19018E-010  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  1.00000E-040  3.63361E-029  1.00000E-040  1.01574E-040  3.25645E-021  1.26676E-006  1.30408E-004  8.36695E-014  4.60942E-016  2.00730E-001  3.25078E-008  3.68680E-004  1.72214E-022  9.77664E-011  1.00000E-040  1.00000E-040  2.06797E-033  2.92865E-020  1.37903E-006  3.16412E-026  3.19340E-029  1.00000E-040  1.00000E-040  6.66939E-035  9.65834E-013  3.50402E-018  5.58352E-018  4.07098E-011  1.00000E-040  1.00000E-040  5.41319E-010  1.00000E-040  3.27970E-016  1.58146E-038  7.98768E-001  3.33850E-032  1.32289E-026  6.29138E-021  1.00000E-040  1.00000E-040  4.15860E-030  1.69524E-025  1.71726E-014  9.67029E-017  1.21285E-011  1.90248E-017  3.16737E-007  1.24435E-009  3.71599E-008  7.11806E-013  3.88695E-014  1.93693E-019  4.21231E-013  7.24149E-011  2.88886E-012  9.56192E-011  2.12920E-017  7.21674E-020  1.86519E-013  6.10849E-039  4.67586E-010  1.64417E-023  1.71222E-017  4.30696E-024  3.68605E-026  1.00000E-040  1.00490E-038  1.00000E-040  1.00000E-040  1.17329E-011  1.00000E-040  1.00000E-040  3.80064E-026  2.61519E-023  2.72309E-035  4.63792E-039  1.26765E-034  2.65715E-016  4.43001E-018  1.97535E-014  1.75661E-030  1.12079E-036  1.00000E-040  9.73523E-022  1.00000E-040  2.73077E-024  1.86930E-031  4.22766E-022  4.88584E-026  2.87930E-009  7.46695E-023  3.85673E-039  9.63792E-019  1.00000E-040  1.00000E-040  1.13094E-024  6.57388E-038  8.81722E-027  2.32517E-039  1.21365E-021  1.00000E-040  1.00000E-003  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  1.00000E-005  
